,date,cases
0,2014-01-13,1
1,2014-01-14,1
2,2014-01-17,1
3,2014-01-23,1
4,2014-01-28,1
5,2014-01-31,1
6,2014-02-03,1
7,2014-02-05,1
8,2014-02-07,2
9,2014-02-10,1
10,2014-02-12,1
11,2014-02-13,6
12,2014-02-20,2
13,2014-02-21,1
14,2014-02-26,2
15,2014-02-27,2
16,2014-02-28,4
17,2014-03-03,2
18,2014-03-05,13
19,2014-03-06,3
20,2014-03-10,5
21,2014-03-13,2
22,2014-03-14,1
23,2014-03-18,1
24,2014-03-26,4
25,2014-03-28,1
26,2014-04-07,1
27,2014-04-08,3
28,2014-04-09,3
29,2014-04-10,2
30,2014-04-11,1
31,2014-04-14,2
32,2014-04-16,2
33,2014-04-21,1
34,2014-05-02,1
35,2014-05-05,1
36,2014-05-09,2
37,2014-05-12,1
38,2014-05-13,3
39,2014-05-21,2
40,2014-05-26,2
41,2014-06-11,1
42,2014-06-13,1
43,2014-08-11,1
44,2014-08-12,1
45,2014-08-25,1
46,2014-08-29,2
47,2014-09-03,1
48,2014-09-05,1
49,2014-09-08,1
50,2014-09-11,1
51,2014-09-17,1
52,2014-09-22,1
53,2014-09-24,2
54,2014-09-30,1
55,2014-10-10,1
56,2014-10-17,1
57,2014-10-20,1
58,2014-10-22,1
59,2014-10-23,1
60,2014-10-24,2
61,2014-10-27,2
62,2014-10-28,2
63,2014-10-29,4
64,2014-10-30,3
65,2014-10-31,6
66,2014-11-03,5
67,2014-11-04,2
68,2014-11-05,2
69,2014-11-10,1
70,2014-11-13,3
71,2014-11-17,5
72,2014-11-18,11
73,2014-11-19,3
74,2014-11-20,3
75,2014-11-21,1
76,2014-11-24,5
77,2014-11-25,5
78,2014-12-01,5
79,2014-12-02,3
80,2014-12-03,3
81,2014-12-04,6
82,2014-12-08,6
83,2014-12-09,2
84,2014-12-10,2
85,2014-12-11,9
86,2014-12-12,6
87,2014-12-15,9
88,2014-12-16,5
89,2014-12-17,9
90,2014-12-18,12
91,2014-12-19,2
92,2014-12-22,2
93,2015-01-05,8
94,2015-01-06,2
95,2015-01-07,1
96,2015-01-08,1
97,2015-01-09,1
98,2015-01-12,7
99,2015-01-13,4
100,2015-01-14,9
101,2015-01-15,10
102,2015-01-16,4
103,2015-01-19,1
104,2015-01-20,7
105,2015-01-21,11
106,2015-01-22,12
107,2015-01-23,4
108,2015-01-26,9
109,2015-01-27,4
110,2015-01-28,9
111,2015-01-29,2
112,2015-01-30,1
113,2015-02-04,8
114,2015-02-05,5
115,2015-02-06,3
116,2015-02-09,7
117,2015-02-10,7
118,2015-02-11,5
119,2015-02-12,2
120,2015-02-13,5
121,2015-02-16,1
122,2015-02-18,3
123,2015-02-19,1
124,2015-02-23,5
125,2015-02-24,5
126,2015-02-25,3
127,2015-02-26,6
128,2015-02-27,1
129,2015-03-02,9
130,2015-03-03,5
131,2015-03-04,7
132,2015-03-05,11
133,2015-03-06,2
134,2015-03-09,11
135,2015-03-10,20
136,2015-03-11,4
137,2015-03-12,14
138,2015-03-13,1
139,2015-03-16,6
140,2015-03-17,9
141,2015-03-18,4
142,2015-03-19,11
143,2015-03-20,3
144,2015-03-23,18
145,2015-03-24,9
146,2015-03-25,6
147,2015-03-26,8
148,2015-03-27,1
149,2015-03-30,6
150,2015-03-31,5
151,2015-04-01,8
152,2015-04-02,11
153,2015-04-06,3
154,2015-04-08,2
155,2015-04-09,1
156,2015-04-10,1
157,2015-04-13,4
158,2015-04-14,3
159,2015-04-15,3
160,2015-04-16,8
161,2015-04-17,2
162,2015-04-20,3
163,2015-04-22,3
164,2015-04-23,3
165,2015-04-27,2
166,2015-04-28,1
167,2015-04-29,6
168,2015-04-30,6
169,2015-05-04,3
170,2015-05-05,7
171,2015-05-06,4
172,2015-05-07,1
173,2015-05-08,1
174,2015-05-11,2
175,2015-05-12,3
176,2015-05-13,3
177,2015-05-14,3
178,2015-05-18,3
179,2015-05-19,3
180,2015-05-20,2
181,2015-05-21,3
182,2015-05-26,3
183,2015-05-28,1
184,2015-06-02,2
185,2015-06-04,1
186,2015-06-08,2
187,2015-06-09,2
188,2015-06-22,1
189,2015-06-24,1
190,2015-07-01,1
191,2015-07-02,1
192,2015-07-08,2
193,2015-07-13,1
194,2015-07-27,1
195,2015-07-31,1
196,2015-08-07,1
197,2015-08-12,1
198,2015-08-14,1
199,2015-08-17,1
200,2015-09-14,1
201,2015-09-17,2
202,2015-09-21,1
203,2015-09-22,1
204,2015-09-23,3
205,2015-09-24,2
206,2015-09-28,5
207,2015-09-29,5
208,2015-09-30,3
209,2015-10-01,1
210,2015-10-02,1
211,2015-10-05,1
212,2015-10-06,2
213,2015-10-07,4
214,2015-10-08,1
215,2015-10-09,1
216,2015-10-12,1
217,2015-10-13,2
218,2015-10-14,1
219,2015-10-15,1
220,2015-10-19,4
221,2015-10-20,1
222,2015-10-21,1
223,2015-10-22,2
224,2015-10-26,3
225,2015-10-27,1
226,2015-10-28,1
227,2015-10-29,2
228,2015-11-04,1
229,2015-11-06,4
230,2015-11-09,1
231,2015-11-10,2
232,2015-11-11,1
233,2015-11-12,2
234,2015-11-16,4
235,2015-11-17,3
236,2015-11-18,6
237,2015-11-19,4
238,2015-11-20,5
239,2015-11-23,9
240,2015-11-24,6
241,2015-11-30,3
242,2015-12-01,5
243,2015-12-02,6
244,2015-12-03,3
245,2015-12-04,1
246,2015-12-07,7
247,2015-12-08,15
248,2015-12-09,10
249,2015-12-10,10
250,2015-12-11,2
251,2015-12-14,10
252,2015-12-15,9
253,2015-12-16,7
254,2015-12-17,9
255,2015-12-18,1
256,2016-01-04,5
257,2016-01-05,4
258,2016-01-06,6
259,2016-01-07,9
260,2016-01-08,3
261,2016-01-11,14
262,2016-01-12,8
263,2016-01-13,4
264,2016-01-14,10
265,2016-01-15,4
266,2016-01-18,1
267,2016-01-19,4
268,2016-01-20,9
269,2016-01-21,3
270,2016-01-22,4
271,2016-01-25,8
272,2016-01-26,12
273,2016-01-27,6
274,2016-01-28,8
275,2016-01-29,3
276,2016-02-01,10
277,2016-02-02,8
278,2016-02-03,13
279,2016-02-04,13
280,2016-02-05,2
281,2016-02-08,11
282,2016-02-09,14
283,2016-02-10,5
284,2016-02-11,11
285,2016-02-12,5
286,2016-02-13,4
287,2016-02-14,4
288,2016-02-16,2
289,2016-02-17,3
290,2016-02-18,1
291,2016-02-22,7
292,2016-02-23,7
293,2016-02-24,7
294,2016-02-26,1
295,2016-02-29,6
296,2016-03-01,2
297,2016-03-02,6
298,2016-03-03,4
299,2016-03-07,3
300,2016-03-08,8
301,2016-03-09,4
302,2016-03-10,4
303,2016-03-11,1
304,2016-03-14,11
305,2016-03-15,4
306,2016-03-16,4
307,2016-03-17,5
308,2016-03-18,2
309,2016-03-21,8
310,2016-03-22,2
311,2016-03-23,2
312,2016-03-25,1
313,2016-03-28,2
314,2016-03-29,4
315,2016-03-30,5
316,2016-03-31,2
317,2016-04-01,4
318,2016-04-04,1
319,2016-04-05,2
320,2016-04-11,4
321,2016-04-12,4
322,2016-04-13,5
323,2016-04-14,8
324,2016-04-15,1
325,2016-04-18,3
326,2016-04-19,2
327,2016-04-20,2
328,2016-04-21,2
329,2016-04-22,2
330,2016-04-25,3
331,2016-04-26,3
332,2016-04-27,6
333,2016-04-28,4
334,2016-04-29,7
335,2016-05-02,4
336,2016-05-03,2
337,2016-05-04,4
338,2016-05-05,4
339,2016-05-06,2
340,2016-05-09,6
341,2016-05-10,3
342,2016-05-12,1
343,2016-05-13,1
344,2016-05-16,5
345,2016-05-17,4
346,2016-05-23,1
347,2016-05-24,2
348,2016-05-25,5
349,2016-05-26,2
350,2016-05-31,4
351,2016-06-01,3
352,2016-06-02,6
353,2016-06-06,3
354,2016-06-07,8
355,2016-06-08,3
356,2016-06-09,4
357,2016-06-13,1
358,2016-06-28,1
359,2016-07-06,1
360,2016-07-07,1
361,2016-07-25,1
362,2016-08-11,4
363,2016-08-12,1
364,2016-08-15,2
365,2016-08-18,1
366,2016-08-24,1
367,2016-08-26,1
368,2016-09-08,1
369,2016-09-12,2
370,2016-09-13,2
371,2016-09-16,1
372,2016-09-19,4
373,2016-09-20,3
374,2016-09-21,2
375,2016-09-22,6
376,2016-09-26,2
377,2016-10-03,1
378,2016-10-04,2
379,2016-10-07,1
380,2016-10-10,3
381,2016-10-11,3
382,2016-10-12,3
383,2016-10-13,1
384,2016-10-14,1
385,2016-10-17,2
386,2016-10-18,1
387,2016-10-19,5
388,2016-10-20,3
389,2016-10-21,1
390,2016-10-24,1
391,2016-10-26,3
392,2016-10-27,3
393,2016-10-31,3
394,2016-11-01,3
395,2016-11-02,1
396,2016-11-03,7
397,2016-11-04,2
398,2016-11-07,4
399,2016-11-08,1
400,2016-11-09,4
401,2016-11-10,3
402,2016-11-14,4
403,2016-11-16,2
404,2016-11-17,1
405,2016-11-21,5
406,2016-11-22,5
407,2016-11-23,1
408,2016-11-28,1
409,2016-11-29,3
410,2016-11-30,4
411,2016-12-01,4
412,2016-12-02,2
413,2016-12-05,4
414,2016-12-06,3
415,2016-12-07,3
416,2016-12-08,4
417,2016-12-09,2
418,2016-12-12,2
419,2016-12-13,7
420,2016-12-15,8
421,2016-12-16,3
422,2016-12-19,4
423,2016-12-20,6
424,2016-12-21,5
425,2016-12-22,6
426,2017-01-03,1
427,2017-01-04,2
428,2017-01-05,2
429,2017-01-06,5
430,2017-01-07,1
431,2017-01-08,1
432,2017-01-09,12
433,2017-01-10,6
434,2017-01-11,5
435,2017-01-12,7
436,2017-01-13,8
437,2017-01-17,1
438,2017-01-18,1
439,2017-01-19,5
440,2017-01-20,3
441,2017-01-23,12
442,2017-01-24,9
443,2017-01-25,8
444,2017-01-26,5
445,2017-01-27,5
446,2017-01-30,4
447,2017-01-31,4
448,2017-02-01,7
449,2017-02-02,3
450,2017-02-03,4
451,2017-02-06,16
452,2017-02-07,8
453,2017-02-08,7
454,2017-02-09,9
455,2017-02-10,6
456,2017-02-13,6
457,2017-02-14,6
458,2017-02-15,13
459,2017-02-16,3
460,2017-02-17,11
461,2017-02-20,3
462,2017-02-21,4
463,2017-02-22,6
464,2017-02-23,3
465,2017-02-24,15
466,2017-02-27,14
467,2017-02-28,10
468,2017-03-01,4
469,2017-03-02,4
470,2017-03-03,16
471,2017-03-06,6
472,2017-03-07,9
473,2017-03-08,6
474,2017-03-09,6
475,2017-03-10,1
476,2017-03-13,14
477,2017-03-14,11
478,2017-03-15,9
479,2017-03-16,14
480,2017-03-17,6
481,2017-03-20,9
482,2017-03-21,7
483,2017-03-22,7
484,2017-03-23,9
485,2017-03-24,9
486,2017-03-27,10
487,2017-03-28,4
488,2017-03-29,2
489,2017-03-30,12
490,2017-03-31,2
491,2017-04-03,2
492,2017-04-04,2
493,2017-04-05,1
494,2017-04-06,2
495,2017-04-07,2
496,2017-04-10,2
497,2017-04-14,2
498,2017-04-17,7
499,2017-04-18,1
500,2017-04-19,2
501,2017-04-20,1
502,2017-04-21,2
503,2017-04-24,4
504,2017-04-26,1
505,2017-04-27,2
506,2017-05-01,1
507,2017-05-02,1
508,2017-05-03,3
509,2017-05-09,1
510,2017-05-10,1
511,2017-05-12,7
512,2017-05-15,1
513,2017-05-17,2
514,2017-05-18,1
515,2017-05-19,9
516,2017-05-26,1
517,2017-05-30,1
518,2017-05-31,1
519,2017-06-01,1
520,2017-06-06,1
521,2017-06-08,4
522,2017-06-09,2
523,2017-06-12,1
524,2017-06-15,2
525,2017-06-19,1
526,2017-06-22,2
527,2017-06-26,2
528,2017-06-27,1
529,2017-06-28,1
530,2017-06-29,1
531,2017-06-30,1
532,2017-07-12,2
533,2017-07-13,1
534,2017-07-14,1
535,2017-07-17,1
536,2017-07-18,2
537,2017-07-20,1
538,2017-07-24,1
539,2017-07-28,1
540,2017-07-31,1
541,2017-08-08,2
542,2017-08-10,1
543,2017-08-11,4
544,2017-08-14,1
545,2017-08-15,1
546,2017-08-17,1
547,2017-08-25,2
548,2017-08-29,1
549,2017-09-07,2
550,2017-09-13,1
551,2017-09-14,2
552,2017-09-18,3
553,2017-09-25,2
554,2017-09-26,1
555,2017-09-29,2
556,2017-10-02,1
557,2017-10-03,1
558,2017-10-05,4
559,2017-10-09,1
560,2017-10-10,1
561,2017-10-11,1
562,2017-10-12,1
563,2017-10-13,6
564,2017-10-15,1
565,2017-10-16,3
566,2017-10-17,3
567,2017-10-18,2
568,2017-10-20,2
569,2017-10-23,2
570,2017-10-24,3
571,2017-10-25,1
572,2017-10-26,1
573,2017-10-27,3
574,2017-10-30,2
575,2017-10-31,4
576,2017-11-01,2
577,2017-11-02,1
578,2017-11-03,4
579,2017-11-06,3
580,2017-11-07,1
581,2017-11-08,2
582,2017-11-09,1
583,2017-11-10,5
584,2017-11-13,4
585,2017-11-14,2
586,2017-11-15,4
587,2017-11-16,1
588,2017-11-17,1
589,2017-11-18,1
590,2017-11-20,3
591,2017-11-21,1
592,2017-11-22,2
593,2017-11-28,2
594,2017-11-30,1
595,2017-12-01,4
596,2017-12-04,3
597,2017-12-05,3
598,2017-12-06,3
599,2017-12-07,4
600,2017-12-08,2
601,2017-12-09,1
602,2017-12-11,9
603,2017-12-12,6
604,2017-12-13,3
605,2017-12-14,4
606,2017-12-15,1
607,2017-12-18,2
608,2017-12-19,5
609,2017-12-20,2
610,2017-12-21,2
611,2017-12-22,2
612,2018-01-02,3
613,2018-01-04,3
614,2018-01-05,4
615,2018-01-08,3
616,2018-01-09,5
617,2018-01-10,5
618,2018-01-11,4
619,2018-01-12,1
620,2018-01-13,1
621,2018-01-16,1
622,2018-01-17,3
623,2018-01-18,1
624,2018-01-19,8
625,2018-01-20,4
626,2018-01-22,4
627,2018-01-23,5
628,2018-01-24,3
629,2018-01-25,6
630,2018-01-26,6
631,2018-01-29,7
632,2018-01-30,1
633,2018-01-31,4
634,2018-02-01,4
635,2018-02-05,11
636,2018-02-06,3
637,2018-02-07,8
638,2018-02-08,3
639,2018-02-09,1
640,2018-02-12,5
641,2018-02-13,1
642,2018-02-14,2
